video_id    , dataset               , label  , target, group_id     , camera , path                                                , split
fall_04_cam0, urfd_videos           , fall   ,      1, urfd::fall-04, cam0   , data/urfd_videos/fall/fall-04/cam0/fall-04-cam0.mp4 , test
fall_04_cam1, urfd_videos           , fall   ,      1, urfd::fall-04, cam1   , data/urfd_videos/fall/fall-04/cam1/fall-04-cam1.mp4 , test
fall_12_cam0, urfd_videos           , fall   ,      1, urfd::fall-12, cam0   , data/urfd_videos/fall/fall-12/cam0/fall-12-cam0.mp4 , test
fall_12_cam1, urfd_videos           , fall   ,      1, urfd::fall-12, cam1   , data/urfd_videos/fall/fall-12/cam1/fall-12-cam1.mp4 , test
fall_14_cam0, urfd_videos           , fall   ,      1, urfd::fall-14, cam0   , data/urfd_videos/fall/fall-14/cam0/fall-14-cam0.mp4 , test
fall_14_cam1, urfd_videos           , fall   ,      1, urfd::fall-14, cam1   , data/urfd_videos/fall/fall-14/cam1/fall-14-cam1.mp4 , test
fall_15_cam0, urfd_videos           , fall   ,      1, urfd::fall-15, cam0   , data/urfd_videos/fall/fall-15/cam0/fall-15-cam0.mp4 , test
fall_15_cam1, urfd_videos           , fall   ,      1, urfd::fall-15, cam1   , data/urfd_videos/fall/fall-15/cam1/fall-15-cam1.mp4 , test
fall_18_cam0, urfd_videos           , fall   ,      1, urfd::fall-18, cam0   , data/urfd_videos/fall/fall-18/cam0/fall-18-cam0.mp4 , test
fall_18_cam1, urfd_videos           , fall   ,      1, urfd::fall-18, cam1   , data/urfd_videos/fall/fall-18/cam1/fall-18-cam1.mp4 , test
fall_29_cam0, urfd_videos           , fall   ,      1, urfd::fall-29, cam0   , data/urfd_videos/fall/fall-29/cam0/fall-29-cam0.mp4 , test
fall_29_cam1, urfd_videos           , fall   ,      1, urfd::fall-29, cam1   , data/urfd_videos/fall/fall-29/cam1/fall-29-cam1.mp4 , test
adl_18_cam0 , urfd_videos           , no_fall,      0, urfd::adl-18 , cam0   , data/urfd_videos/No fall/adl-18/cam0/adl-18-cam0.mp4, test
adl_19_cam0 , urfd_videos           , no_fall,      0, urfd::adl-19 , cam0   , data/urfd_videos/No fall/adl-19/cam0/adl-19-cam0.mp4, test
