video_id,split,label,frame_dir,pose_json,frame_count,pose_frame_count
fall_01_cam0,train,fall,data/frame_splits/train/fall/fall_01_cam0,data/pose_splits/train/fall/fall_01_cam0.json,4,1
fall_01_cam1,train,fall,data/frame_splits/train/fall/fall_01_cam1,data/pose_splits/train/fall/fall_01_cam1.json,4,4
fall_02_cam0,train,fall,data/frame_splits/train/fall/fall_02_cam0,data/pose_splits/train/fall/fall_02_cam0.json,4,4
fall_02_cam1,train,fall,data/frame_splits/train/fall/fall_02_cam1,data/pose_splits/train/fall/fall_02_cam1.json,4,3
fall_03_cam0,train,fall,data/frame_splits/train/fall/fall_03_cam0,data/pose_splits/train/fall/fall_03_cam0.json,5,3
fall_03_cam1,train,fall,data/frame_splits/train/fall/fall_03_cam1,data/pose_splits/train/fall/fall_03_cam1.json,5,3
fall_06_cam0,train,fall,data/frame_splits/train/fall/fall_06_cam0,data/pose_splits/train/fall/fall_06_cam0.json,4,4
fall_06_cam1,train,fall,data/frame_splits/train/fall/fall_06_cam1,data/pose_splits/train/fall/fall_06_cam1.json,4,4
fall_07_cam0,train,fall,data/frame_splits/train/fall/fall_07_cam0,data/pose_splits/train/fall/fall_07_cam0.json,4,3
fall_07_cam1,train,fall,data/frame_splits/train/fall/fall_07_cam1,data/pose_splits/train/fall/fall_07_cam1.json,4,3
fall_08_cam0,train,fall,data/frame_splits/train/fall/fall_08_cam0,data/pose_splits/train/fall/fall_08_cam0.json,4,4
fall_08_cam1,train,fall,data/frame_splits/train/fall/fall_08_cam1,data/pose_splits/train/fall/fall_08_cam1.json,4,2
fall_09_cam0,train,fall,data/frame_splits/train/fall/fall_09_cam0,data/pose_splits/train/fall/fall_09_cam0.json,5,4
fall_09_cam1,train,fall,data/frame_splits/train/fall/fall_09_cam1,data/pose_splits/train/fall/fall_09_cam1.json,5,4
fall_10_cam0,train,fall,data/frame_splits/train/fall/fall_10_cam0,data/pose_splits/train/fall/fall_10_cam0.json,5,3
fall_10_cam1,train,fall,data/frame_splits/train/fall/fall_10_cam1,data/pose_splits/train/fall/fall_10_cam1.json,5,3
fall_11_cam0,train,fall,data/frame_splits/train/fall/fall_11_cam0,data/pose_splits/train/fall/fall_11_cam0.json,5,4
fall_11_cam1,train,fall,data/frame_splits/train/fall/fall_11_cam1,data/pose_splits/train/fall/fall_11_cam1.json,5,4
fall_13_cam0,train,fall,data/frame_splits/train/fall/fall_13_cam0,data/pose_splits/train/fall/fall_13_cam0.json,3,2
fall_13_cam1,train,fall,data/frame_splits/train/fall/fall_13_cam1,data/pose_splits/train/fall/fall_13_cam1.json,3,0
