window_id,video_id,split,label,target,source_video_path,video_start_time_seconds,video_end_time_seconds,window_start_time_seconds,window_end_time_seconds,window_index,window_start_position,window_size,frame_dir,pose_json,frame_names,frame_indices,frame_timestamps_seconds,frame_paths,pose_detected_count
fall_01_cam0_w0000,fall_01_cam0,train,fall,1,data/urfd_videos/fall/fall-01/cam0/fall-01-cam0.mp4,0.0,5.3333,0.0,0.6667,0,0,3,data/frame_splits/train/fall/fall_01_cam0,data/pose_splits/train/fall/fall_01_cam0.json,frame_000000.jpg|frame_000010.jpg|frame_000020.jpg,0|10|20,0.0|0.3333|0.6667,data/frame_splits/train/fall/fall_01_cam0/frame_000000.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000010.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000020.jpg,0
fall_01_cam0_w0001,fall_01_cam0,train,fall,1,data/urfd_videos/fall/fall-01/cam0/fall-01-cam0.mp4,0.0,5.3333,0.6667,1.3333,1,2,3,data/frame_splits/train/fall/fall_01_cam0,data/pose_splits/train/fall/fall_01_cam0.json,frame_000020.jpg|frame_000030.jpg|frame_000040.jpg,20|30|40,0.6667|1.0|1.3333,data/frame_splits/train/fall/fall_01_cam0/frame_000020.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000030.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000040.jpg,0
fall_01_cam0_w0002,fall_01_cam0,train,fall,1,data/urfd_videos/fall/fall-01/cam0/fall-01-cam0.mp4,0.0,5.3333,1.3333,2.0,2,4,3,data/frame_splits/train/fall/fall_01_cam0,data/pose_splits/train/fall/fall_01_cam0.json,frame_000040.jpg|frame_000050.jpg|frame_000060.jpg,40|50|60,1.3333|1.6667|2.0,data/frame_splits/train/fall/fall_01_cam0/frame_000040.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000050.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000060.jpg,0
fall_01_cam0_w0003,fall_01_cam0,train,fall,1,data/urfd_videos/fall/fall-01/cam0/fall-01-cam0.mp4,0.0,5.3333,2.0,2.6667,3,6,3,data/frame_splits/train/fall/fall_01_cam0,data/pose_splits/train/fall/fall_01_cam0.json,frame_000060.jpg|frame_000070.jpg|frame_000080.jpg,60|70|80,2.0|2.3333|2.6667,data/frame_splits/train/fall/fall_01_cam0/frame_000060.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000070.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000080.jpg,0
fall_01_cam0_w0004,fall_01_cam0,train,fall,1,data/urfd_videos/fall/fall-01/cam0/fall-01-cam0.mp4,0.0,5.3333,2.6667,3.3333,4,8,3,data/frame_splits/train/fall/fall_01_cam0,data/pose_splits/train/fall/fall_01_cam0.json,frame_000080.jpg|frame_000090.jpg|frame_000100.jpg,80|90|100,2.6667|3.0|3.3333,data/frame_splits/train/fall/fall_01_cam0/frame_000080.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000090.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000100.jpg,2
fall_01_cam0_w0005,fall_01_cam0,train,fall,1,data/urfd_videos/fall/fall-01/cam0/fall-01-cam0.mp4,0.0,5.3333,3.3333,4.0,5,10,3,data/frame_splits/train/fall/fall_01_cam0,data/pose_splits/train/fall/fall_01_cam0.json,frame_000100.jpg|frame_000110.jpg|frame_000120.jpg,100|110|120,3.3333|3.6667|4.0,data/frame_splits/train/fall/fall_01_cam0/frame_000100.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000110.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000120.jpg,2
fall_01_cam0_w0006,fall_01_cam0,train,fall,1,data/urfd_videos/fall/fall-01/cam0/fall-01-cam0.mp4,0.0,5.3333,4.0,4.6667,6,12,3,data/frame_splits/train/fall/fall_01_cam0,data/pose_splits/train/fall/fall_01_cam0.json,frame_000120.jpg|frame_000130.jpg|frame_000140.jpg,120|130|140,4.0|4.3333|4.6667,data/frame_splits/train/fall/fall_01_cam0/frame_000120.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000130.jpg|data/frame_splits/train/fall/fall_01_cam0/frame_000140.jpg,0
fall_01_cam1_w0000,fall_01_cam1,train,fall,1,data/urfd_videos/fall/fall-01/cam1/fall-01-cam1.mp4,0.0,5.3333,0.0,0.6667,0,0,3,data/frame_splits/train/fall/fall_01_cam1,data/pose_splits/train/fall/fall_01_cam1.json,frame_000000.jpg|frame_000010.jpg|frame_000020.jpg,0|10|20,0.0|0.3333|0.6667,data/frame_splits/train/fall/fall_01_cam1/frame_000000.jpg|data/frame_splits/train/fall/fall_01_cam1/frame_000010.jpg|data/frame_splits/train/fall/fall_01_cam1/frame_000020.jpg,3
fall_01_cam1_w0001,fall_01_cam1,train,fall,1,data/urfd_videos/fall/fall-01/cam1/fall-01-cam1.mp4,0.0,5.3333,0.6667,1.3333,1,2,3,data/frame_splits/train/fall/fall_01_cam1,data/pose_splits/train/fall/fall_01_cam1.json,frame_000020.jpg|frame_000030.jpg|frame_000040.jpg,20|30|40,0.6667|1.0|1.3333,data/frame_splits/train/fall/fall_01_cam1/frame_000020.jpg|data/frame_splits/train/fall/fall_01_cam1/frame_000030.jpg|data/frame_splits/train/fall/fall_01_cam1/frame_000040.jpg,3
fall_01_cam1_w0002,fall_01_cam1,train,fall,1,data/urfd_videos/fall/fall-01/cam1/fall-01-cam1.mp4,0.0,5.3333,1.3333,2.0,2,4,3,data/frame_splits/train/fall/fall_01_cam1,data/pose_splits/train/fall/fall_01_cam1.json,frame_000040.jpg|frame_000050.jpg|frame_000060.jpg,40|50|60,1.3333|1.6667|2.0,data/frame_splits/train/fall/fall_01_cam1/frame_000040.jpg|data/frame_splits/train/fall/fall_01_cam1/frame_000050.jpg|data/frame_splits/train/fall/fall_01_cam1/frame_000060.jpg,3
