video_id,dataset,label,split,frame_count,pose_count,window_count
le2i_H01_video_24_fall,le2i,fall,train,3,2,1
gmncsa24_gmncsa_fall_045,gmncsa24,fall,train,54,54,52
gmncsa24_gmncsa_fall_077,gmncsa24,fall,train,34,32,32
le2i_CR01_video_12_fall,le2i,fall,train,5,5,3
gmncsa24_gmncsa_fall_056,gmncsa24,fall,train,45,45,43
le2i_CR01_video_30_fall,le2i,fall,train,5,3,3
le2i_CR01_video_14_fall,le2i,fall,train,5,3,3
le2i_CR01_video_34_fall,le2i,fall,train,6,6,4
gmncsa24_gmncsa_fall_064,gmncsa24,fall,train,27,19,25
urfd_fall-08-cam0,urfd,fall,train,19,18,17
le2i_H01_video_30_fall,le2i,fall,train,3,2,1
gmncsa24_gmncsa_fall_053,gmncsa24,fall,train,32,20,30
le2i_CR02_video_51_fall,le2i,fall,train,9,7,7
le2i_CR02_video_58_fall,le2i,fall,train,7,7,5
le2i_H02_video_31_fall,le2i,fall,train,4,4,2
le2i_CR01_video_46_fall,le2i,fall,train,5,5,3
le2i_CR01_video_28_fall,le2i,fall,train,7,5,5
urfd_fall-22-cam0,urfd,fall,train,12,7,10
gmncsa24_gmncsa_fall_041,gmncsa24,fall,train,27,27,25
gmncsa24_gmncsa_fall_060,gmncsa24,fall,train,28,25,26
le2i_CR01_video_31_fall,le2i,fall,train,4,2,2
gmncsa24_gmncsa_fall_063,gmncsa24,fall,train,30,30,28
le2i_CR02_video_60_fall,le2i,fall,train,6,5,4
gmncsa24_gmncsa_fall_024,gmncsa24,fall,train,27,27,25
gmncsa24_gmncsa_fall_049,gmncsa24,fall,train,42,42,40
le2i_H02_video_36_fall,le2i,fall,train,3,1,1
urfd_fall-05-cam0,urfd,fall,train,31,9,29
le2i_CR01_video_32_fall,le2i,fall,train,5,4,3
le2i_CR01_video_27_fall,le2i,fall,train,7,7,5
gmncsa24_gmncsa_fall_070,gmncsa24,fall,train,36,36,34
gmncsa24_gmncsa_fall_069,gmncsa24,fall,train,34,24,32
urfd_fall-12-cam0,urfd,fall,train,22,22,20
urfd_fall-07-cam0,urfd,fall,train,32,27,30
le2i_CR01_video_33_fall,le2i,fall,train,6,6,4
gmncsa24_gmncsa_fall_008,gmncsa24,fall,train,43,42,41
urfd_fall-27-cam0,urfd,fall,train,19,1,17
le2i_CR01_video_17_fall,le2i,fall,train,8,8,6
le2i_CR01_video_38_fall,le2i,fall,train,5,5,3
le2i_H01_video_29_fall,le2i,fall,train,3,3,1
le2i_H01_video_20_fall,le2i,fall,train,3,2,1
le2i_H01_video_13_fall,le2i,fall,train,3,2,1
gmncsa24_gmncsa_fall_016,gmncsa24,fall,train,60,59,58
le2i_CR01_video_24_fall,le2i,fall,train,6,5,4
gmncsa24_gmncsa_fall_055,gmncsa24,fall,train,28,19,26
gmncsa24_gmncsa_fall_036,gmncsa24,fall,train,60,55,58
le2i_CR01_video_43_fall,le2i,fall,train,7,7,5
gmncsa24_gmncsa_fall_011,gmncsa24,fall,train,39,39,37
le2i_H01_video_14_fall,le2i,fall,train,3,3,1
gmncsa24_gmncsa_fall_015,gmncsa24,fall,train,34,13,32
urfd_fall-09-cam0,urfd,fall,train,37,24,35
gmncsa24_gmncsa_fall_022,gmncsa24,fall,train,37,30,35
urfd_fall-03-cam0,urfd,fall,train,43,15,41
le2i_CR01_video_16_fall,le2i,fall,train,4,4,2
le2i_H01_video_11_fall,le2i,fall,train,7,5,5
le2i_H01_video_4_fall,le2i,fall,train,3,3,1
le2i_CR02_video_64_fall,le2i,fall,train,6,6,4
gmncsa24_gmncsa_fall_068,gmncsa24,fall,train,37,37,35
gmncsa24_gmncsa_fall_032,gmncsa24,fall,train,26,5,24
le2i_H01_video_15_fall,le2i,fall,train,3,3,1
gmncsa24_gmncsa_fall_058,gmncsa24,fall,train,31,16,29
urfd_fall-18-cam0,urfd,fall,train,13,9,11
urfd_fall-21-cam0,urfd,fall,train,11,1,9
le2i_H01_video_3_fall,le2i,fall,train,3,2,1
gmncsa24_gmncsa_fall_051,gmncsa24,fall,train,18,17,16
le2i_H01_video_19_fall,le2i,fall,train,3,3,1
gmncsa24_gmncsa_fall_004,gmncsa24,fall,train,34,23,32
urfd_fall-15-cam0,urfd,fall,train,15,2,13
le2i_CR01_video_15_fall,le2i,fall,train,6,3,4
gmncsa24_gmncsa_fall_033,gmncsa24,fall,train,34,33,32
gmncsa24_gmncsa_fall_075,gmncsa24,fall,train,30,30,28
gmncsa24_gmncsa_fall_054,gmncsa24,fall,train,29,29,27
gmncsa24_gmncsa_fall_029,gmncsa24,fall,train,19,15,17
le2i_CR01_video_37_fall,le2i,fall,train,6,5,4
le2i_CR01_video_35_fall,le2i,fall,train,7,6,5
gmncsa24_gmncsa_fall_067,gmncsa24,fall,train,38,17,36
gmncsa24_gmncsa_fall_046,gmncsa24,fall,train,25,25,23
gmncsa24_gmncsa_fall_047,gmncsa24,fall,train,37,35,35
le2i_CR01_video_5_fall,le2i,fall,train,7,7,5
